Title,Price,Bedrooms,Location,URL,Apartment_Name
St....,1625.0,2.0,Heart of Village of Williamsville! Steps to Main St....,https://buffalo.craigslist.org/apa/d/buffalo-great-views-from-glen-park/7875413579.html,Unnamed - Heart of Village of Williamsville! Steps to Main St....
Ave,1250.0,1.0,Huntington Ave,https://buffalo.craigslist.org/apa/d/buffalo-all-utilities-1br-huntington-ave/7885201611.html,Unnamed - Huntington Ave
Buffalo,800.0,1.0,North Buffalo,https://buffalo.craigslist.org/apa/d/buffalo-apartment-share-800-includes/7885200858.html,Unnamed - North Buffalo
NY,659.0,4.0,"9/304br1710 Calumet Ave, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-washer-dryer-hookup/7882142048.html,"Apartment at 9/304br1710 Calumet Ave, Niagara Falls, NY"
NY,1413.0,3.0,"9/293br224 Niagara St, Buffalo, NY",https://buffalo.craigslist.org/apa/d/buffalo-bed-fully-applianced-kitchens/7885091050.html,"Apartment at 9/293br224 Niagara St, Buffalo, NY"
DT!,1199.0,2.0,9/292brDelaware District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-cozy-bedroom-available-on-west/7875407396.html,Unnamed - 9/292brDelaware District-Close to Medical Campus and DT!
9/292brWilliamsville,1395.0,2.0,9/292brWilliamsville,https://buffalo.craigslist.org/apa/d/buffalo-move-in-special-modern-bd-heat/7881716986.html,Unnamed - 9/292brWilliamsville
9/292brAmherst,1430.0,2.0,9/292brAmherst,https://buffalo.craigslist.org/apa/d/buffalo-2nd-month-free-special-on-huge/7885085696.html,Unnamed - 9/292brAmherst
9/292brCheektowaga,1320.0,2.0,9/292brCheektowaga,https://buffalo.craigslist.org/apa/d/buffalo-spacious-bd-apartment-heat/7884142411.html,Unnamed - 9/292brCheektowaga
9/292br,1500.0,2.0,9/292br,https://buffalo.craigslist.org/apa/d/buffalo-the-holland-house/7885070105.html,Unnamed - 9/292br
9/291br,1295.0,1.0,9/291br,https://buffalo.craigslist.org/apa/d/buffalo-charming-bed-bath-unit-on/7885059376.html,Unnamed - 9/291br
9/291brBuffalo,1300.0,1.0,9/291brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-be-1st-in-new-br-apt-deck-in/7885041437.html,Unnamed - 9/291brBuffalo
NY,1283.0,2.0,"9/292br224 Niagara St, Buffalo, NY",https://buffalo.craigslist.org/apa/d/buffalo-fully-applianced-kitchens-patio/7885027250.html,"Apartment at 9/292br224 Niagara St, Buffalo, NY"
9/292brWilliamsville,1295.0,2.0,9/292brWilliamsville,https://buffalo.craigslist.org/apa/d/buffalo-move-in-special-bd-ba-apartment/7874373778.html,Unnamed - 9/292brWilliamsville
NY,1250.0,1.0,"9/291brBuffalo, NY",https://buffalo.craigslist.org/apa/d/buffalo-all-utilities-delaware-ave/7879938614.html,"Unnamed - 9/291brBuffalo, NY"
